"year_built","avg_price"
"1799","500000"
"1832","1550000"
"1870","567450"
"1880","80000"
"1890","617500"
"1893","279900"
"1894","549500"
"1899","433207"
"1900","302783"
"1901","380000"
"1902","368000"
"1903","216750"
"1904","373750"
"1905","351785"
"1906","303458"
"1907","323500"
"1908","580000"
"1909","448924"
"1910","391667"
"1911","405333"
"1912","650500"
"1913","912000"
"1914","415000"
"1915","333692"
"1916","381863"
"1917","307089"
"1918","507884"
"1919","267304"
"1920","322087"
"1921","437864"
"1922","406631"
"1923","317143"
"1924","296609"
"1925","378080"
"1926","369003"
"1927","393413"
"1928","307042"
"1929","481128"
"1930","314143"
"1931","296234"
"1932","310201"
"1933","311190"
"1934","238563"
"1935","298613"
"1936","396353"
"1937","477059"
"1938","349973"
"1939","460924"
"1940","266138"
"1941","356277"
"1942","297012"
"1943","290606"
"1944","312969"
"1945","266649"
"1946","273984"
"1947","221525"
"1948","237117"
"1949","238076"
"1950","239926"
"1951","274303"
"1952","261924"
"1953","243985"
"1954","247794"
"1955","239821"
"1956","250596"
"1957","231058"
"1958","237395"
"1959","250814"
"1960","234314"
"1961","246985"
"1962","217258"
"1963","228874"
"1964","240001"
"1965","230534"
"1966","234642"
"1967","230469"
"1968","219313"
"1969","250624"
"1970","249606"
"1971","210740"
"1972","188778"
"1973","251213"
"1974","186069"
"1975","181192"
"1976","242110"
"1977","203567"
"1978","240000"
"1979","169842"
"1980","262130"
"1981","187830"
"1982","199479"
"1983","167530"
"1984","148405"
"1985","159568"
"1986","165526"
"1987","222020"
"1988","250479"
"1989","199768"
"1990","274027"
"1991","255449"
"1992","235986"
"1993","329076"
"1994","295530"
"1995","303132"
"1996","339753"
"1997","227456"
"1998","343190"
"1999","284703"
"2000","359814"
"2001","247384"
"2002","348095"
"2003","335336"
"2004","610705"
"2005","653528"
"2006","556827"
"2007","620339"
"2008","593699"
"2009","687674"
"2010","546098"
"2011","757753"
"2012","556765"
"2013","403980"
"2014","360065"
"2015","393593"
"2016","382002"
"2017","419734"
