"parcel_id","neighborhood","sale_price","avg_price","price_ratio","investment_flag"
"070 05 0 031.00","3528",100,"103706","0.00","Underpriced"
"083 13 0 143.00","2326",800,"365735","0.00","Underpriced"
"041 11 0 011.00","6829",100,"135050","0.00","Underpriced"
"136 11 0 005.00","6026",1000,"163435","0.01","Underpriced"
"091 14 0 015.00","3329",3000,"153487","0.02","Underpriced"
"082 04 0 277.00","3628",5000,"208757","0.02","Underpriced"
"098 00 0 207.00","6235",5000,"196494","0.03","Underpriced"
"091 06 0 295.00","1226",11000,"251441","0.04","Underpriced"
"094 01 0 194.00","2328",10000,"238504","0.04","Underpriced"
"083 02 0 184.00","2726",12000,"288925","0.04","Underpriced"
"094 12 0 025.00","4129",7250,"151691","0.05","Underpriced"
"116 14 0 031.00","4328",27500,"594574","0.05","Underpriced"
"169 00 0 088.00","6041",10000,"209627","0.05","Underpriced"
"082 16 0 192.00","2326",17500,"365735","0.05","Underpriced"
"052 01 0 308.00","6927",6000,"116061","0.05","Underpriced"
"050 10 0 140.00","4831",6500,"118486","0.05","Underpriced"
"052 13 0 047.00","4126",30000,"485693","0.06","Underpriced"
"071 10 0 029.00","3527",10139,"172379","0.06","Underpriced"
"080 04 0 030.00","3529",8500,"133900","0.06","Underpriced"
"082 07 0 435.00","2026",12500,"197491","0.06","Underpriced"
"081 11 0 237.00","226",7000,"109880","0.06","Underpriced"
"092 07 0 011.00","1129",6000,"104493","0.06","Underpriced"
"061 16 0 139.00","7328",15000,"240699","0.06","Underpriced"
"093 08 0 054.00","2328",15000,"238504","0.06","Underpriced"
"081 11 0 370.00","226",8000,"109880","0.07","Underpriced"
"096 13 0 049.00","4130",11347,"165917","0.07","Underpriced"
"146 10 0 039.00","9529",60000,"827009","0.07","Underpriced"
"071 12 0 224.00","3426",12000,"168290","0.07","Underpriced"
"053 11 0 039.00","6231",11500,"171226","0.07","Underpriced"
"081 07 0 228.00","226",7500,"109880","0.07","Underpriced"
"081 08 0 321.00","126",18000,"263041","0.07","Underpriced"
"092 09 0 230.00","1126",25500,"377736","0.07","Underpriced"
"050 04 0 041.00","6829",9000,"135050","0.07","Underpriced"
"069 04 0 022.00","3532",10000,"125687","0.08","Underpriced"
"093 16 0 183.00","1426",7500,"97659","0.08","Underpriced"
"082 04 0 219.00","3628",16000,"208757","0.08","Underpriced"
"071 08 0 037.00","4832",10000,"122360","0.08","Underpriced"
"061 10 0 022.00","4830",15000,"186566","0.08","Underpriced"
"052 13 0 049.00","4126",40000,"485693","0.08","Underpriced"
"080 12 0 071.00","3536",7500,"94074","0.08","Underpriced"
"058 16 0 035.00","3532",10000,"125687","0.08","Underpriced"
"091 02 0 077.00","1226",20000,"251441","0.08","Underpriced"
"072 13 0 253.00","3628",17500,"208757","0.08","Underpriced"
"082 07 0 033.00","2026",16000,"197491","0.08","Underpriced"
"092 04 0 290.00","126",20000,"263041","0.08","Underpriced"
"052 04 0 094.00","6927",9794,"116061","0.08","Underpriced"
"081 11 0 235.00","226",10000,"109880","0.09","Underpriced"
"081 15 0 039.00","226",9500,"109880","0.09","Underpriced"
"042 02 0 001.00","6930",18000,"205363","0.09","Underpriced"
"059 16 0 088.00","3527",15000,"172379","0.09","Underpriced"
"081 07 0 420.00","226",10000,"109880","0.09","Underpriced"
"059 16 0 090.00","3527",15000,"172379","0.09","Underpriced"
"072 09 0 420.00","3628",19000,"208757","0.09","Underpriced"
"071 15 0 083.00","3426",15000,"168290","0.09","Underpriced"
"053 12 0 142.00","6231",16000,"171226","0.09","Underpriced"
"053 12 0 143.00","6231",16000,"171226","0.09","Underpriced"
"070 08 0 186.00","3527",15000,"172379","0.09","Underpriced"
"094 02 0 190.00","2328",20900,"238504","0.09","Underpriced"
"064 09 0 029.00","6230",11000,"127241","0.09","Underpriced"
"136 13 0 110.00","6028",11500,"132146","0.09","Underpriced"
"105 05 0 246.00","1626",45000,"485564","0.09","Underpriced"
"043 13 0 396.00","6927",10000,"116061","0.09","Underpriced"
"081 11 0 432.00","226",10000,"109880","0.09","Underpriced"
"071 10 0 102.00","3527",15000,"172379","0.09","Underpriced"
"081 03 0 216.00","226",10000,"109880","0.09","Underpriced"
"082 12 0 206.00","1926",20000,"222213","0.09","Underpriced"
"105 04 0 112.00","1426",10000,"97659","0.10","Underpriced"
"043 09 0 133.00","6950",11000,"112923","0.10","Underpriced"
"094 01 0 208.00","2328",25000,"238504","0.10","Underpriced"
"119 01 0 413.00","3130",15000,"145811","0.10","Underpriced"
"051 04 0 047.00","6928",15000,"150077","0.10","Underpriced"
"176 05 0 030.00","6328",14000,"145587","0.10","Underpriced"
"093 08 0 038.00","2328",25000,"238504","0.10","Underpriced"
"093 16 0 308.00","1426",10000,"97659","0.10","Underpriced"
"093 08 0 054.00","2328",25000,"238504","0.10","Underpriced"
"092 05 0 147.00","1127",11500,"113519","0.10","Underpriced"
"133 01 0 254.00","3179",15000,"145798","0.10","Underpriced"
"081 07 0 141.00","226",11000,"109880","0.10","Underpriced"
"044 15 0 007.00","6226",14000,"135658","0.10","Underpriced"
"080 04 0 031.00","3529",14000,"133900","0.10","Underpriced"
"105 03 0 249.00","1426",10000,"97659","0.10","Underpriced"
"105 04 0 112.00","1426",10001,"97659","0.10","Underpriced"
